system:index,BG,BU,C,F,G,SI,SS,T,W,first,lat,lc,long,seqnum,.geo
1_0000000000000000151c,8055415,18605,15274,0,2631,0,319,1032,431,3,29.950046792532063,wc,40.73511655663073,2284.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001325,8055193,259,207,16,0,0,168,109,1284,3,29.495624963151798,wc,23.614251567291944,1781.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001507,7639,15635,11263,47,49690,0,31,77409,182212,8,44.08665935992824,wc,31.838874581136352,2263.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000151f,952453,202911,4279371,3177,2745164,0,70095,259913,259165,4,36.923175684548326,wc,38.200311274262546,2287.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000130c,63230,21210,16398,42,390737,0,170510,283341,3504233,8,35.79232396217201,wc,26.256252311960612,1756.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001377,7680465,1337,38017,0,1900,0,1112,7259,474,3,24.882581192188017,wc,28.75975381638381,1863.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001503,644927,171395,1355336,1981,1561456,0,284323,617469,546541,2,35.02087457901839,wc,35.91686621155021,2259.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000153a,1641493,79056,4930685,202,1931116,0,6129,58423,70932,8,36.446314863770986,wc,41.39580093436454,2314.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014c9,5012571,49392,147067,534,602,0,4087,21144,778533,3,26.61269811726308,wc,33.598149820031246,2201.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_000000000000000014d0,94406,163446,3107087,16064,1566151,0,69484,4286453,162071,2,42.190142886937466,wc,25.838876741171813,2208.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001502,5242555,238664,1204274,1285,1336210,0,115605,167836,29350,3,32.72211208001137,wc,36.839737263303064,2258.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000001522,10641,7580,14692,2724,110823,0,3,159338,372523,2,43.799930555714816,wc,35.47515751037879,2290.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000135d,7292703,81557,540928,1614,1426,0,14922,45838,50164,3,29.13969491937193,wc,29.647592824464773,1837.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000151e,7332712,36571,208636,3977,922824,0,2060,1872,11251,4,34.60157100642988,wc,39.06313473109428,2286.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
